GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
000001.SZ,5.39,4.31,14.75,-100.0,8.27,12.18,16.25,15.58,0.86,0.73,CNY,2013
000002.SZ,4.29,0.55,15.72,8.87,10.04,15.53,13.62,13.55,2.16,2.38,CNY,2013
000004.SZ,-3.66,6.36,9.63,0.0,90.53,10.09,18.51,17.41,-108.18,-21.09,CNY,2013
000005.SZ,-8.4,1.64,20.73,6.67,13.95,9.1,7.66,7.53,-6.35,2.09,CNY,2013
000006.SZ,16.34,0.0,-2.42,0.83,-5.5,11.43,7.58,7.58,1.59,5.33,CNY,2013
000007.SZ,-613.0,-2.82,0.33,0.0,0.0,-6.64,-13.87,-14.27,-1.79,-32.76,CNY,2013
000008.SZ,-7.84,7.58,21.62,0.0,0.0,37.83,25.58,23.77,-10.18,0.01,CNY,2013
000009.SZ,12.38,0.44,25.48,36.66,26.19,16.13,12.35,12.3,4.9,2.04,CNY,2013
000010.SZ,-3.39,5.25,6.02,5.12,0.0,15.02,1.44,1.37,-19.41,-15.65,CNY,2013
000011.SZ,17.12,-0.0,9.65,6.83,6.64,16.91,10.46,10.46,3.41,8.55,CNY,2013
000012.SZ,8.94,0.24,7.8,6.86,2.94,6.2,4.84,4.83,8.35,3.99,CNY,2013
000014.SZ,6.89,2.02,3.42,21.16,24.57,5.21,7.51,7.36,8.32,5.79,CNY,2013
000016.SZ,-6.59,-0.0,4.45,4.33,0.0,10.29,7.22,7.22,-4.8,0.72,CNY,2013
000017.SZ,-595.75,0.68,5.65,0.0,0.0,11.3,51.25,50.91,-2.01,-2.55,CNY,2013
000019.SZ,22.36,9.8,38.67,0.0,16.96,21.02,19.47,17.73,6.14,5.55,CNY,2013
000020.KS,10.57,-0.1,4.96,42.37,39.84,4.28,5.39,5.39,4.58,3.47,KRW,2013
000020.SZ,317.83,-0.02,0.65,4.95,0.0,-2.02,2.89,2.89,1.77,0.85,CNY,2013
000021.SZ,59.69,1.67,0.77,0.0,10.5,8.16,8.74,8.6,2.42,3.27,CNY,2013
000023.SZ,-3.59,-0.0,-11.31,0.0,0.0,1.33,-9.69,-9.69,-18.88,-0.93,CNY,2013
000025.SZ,104.14,3.38,6.22,15.87,27.34,13.73,25.76,24.92,3.83,6.08,CNY,2013
000026.SZ,17.54,0.65,3.83,3.25,7.6,1.63,8.25,8.2,6.53,6.02,CNY,2013
000027.SZ,16.28,4.92,13.14,12.97,1.2,17.38,12.26,11.68,1.83,1.5,CNY,2013
000028.SZ,10.51,4.53,14.8,12.34,7.5,16.17,24.06,23.02,3.79,4.12,CNY,2013
000029.SZ,-230.61,0.0,-12.53,-3.53,-4.43,3.39,8.87,8.87,2.7,8.82,CNY,2013
000030.SZ,16.33,-0.0,10.24,9.23,-0.89,8.86,7.82,7.82,3.43,7.03,CNY,2013
000031.SZ,-6.58,9.88,16.29,12.45,0.0,20.31,6.19,5.63,-1.05,1.11,CNY,2013
000032.SZ,53.14,18.11,46.67,52.32,38.62,48.54,22.81,19.31,1.38,5.03,CNY,2013
000034.SZ,17.56,7.52,81.84,98.21,46.66,67.95,60.75,56.5,2.57,2.19,CNY,2013
000035.SZ,85.69,23.2,76.22,0.0,-36.54,138.9,110.89,90.01,0.96,3.27,CNY,2013
000036.SZ,10.55,0.31,32.0,53.16,24.76,9.16,12.26,12.22,6.49,7.8,CNY,2013
000037.SZ,-58.23,0.24,-5.09,-12.58,0.0,-7.85,-1.06,-1.05,-7.17,-1.91,CNY,2013
000038.SZ,2.11,14.51,30.47,22.85,0.0,18.91,34.4,30.04,0.0,-61.21,CNY,2012
000039.SZ,13.75,6.41,10.45,9.74,2.46,8.06,7.91,7.44,3.31,2.65,CNY,2013
000040.KS,-2.97,19.13,1.82,3.2,-8.87,2.74,-5.91,-4.96,-8.76,-15.45,KRW,2013
000040.SZ,-26.47,13.7,15.73,15.34,0.0,22.97,27.53,24.21,-1.24,0.92,CNY,2013
000042.SZ,464.14,3.71,13.8,10.97,-36.86,18.44,11.41,11.0,0.02,0.81,CNY,2013
000045.SZ,56.34,1.15,10.76,0.0,8.59,7.82,2.42,2.39,2.01,0.04,CNY,2013
000046.SZ,-0.37,1.47,9.0,-8.63,0.0,11.12,0.0,0.0,-12.82,-2.43,CNY,2013
000048.SZ,4.69,0.01,16.09,0.0,0.0,33.18,23.15,23.14,4.42,8.46,CNY,2013
000049.SZ,13.51,0.09,19.42,12.54,17.21,15.69,25.38,25.36,7.1,5.75,CNY,2013
000050.KS,-16.56,0.54,1.28,-7.37,-12.91,-0.42,1.92,1.91,0.35,1.58,KRW,2013
000050.SZ,-36.37,16.01,24.05,20.38,-16.1,29.37,39.67,34.2,0.14,1.51,CNY,2013
000055.SZ,15.64,3.79,9.16,16.38,10.03,19.32,19.46,18.75,2.23,13.78,CNY,2013
000056.SZ,-3.54,3.94,38.53,0.0,0.0,2.94,-0.7,-0.67,-12.15,-2.17,CNY,2013
000058.SZ,317.17,5.14,12.42,9.13,-8.05,10.67,4.93,4.69,0.77,0.66,CNY,2013
000059.SZ,-51.64,3.26,1.86,10.21,0.0,1.54,8.08,7.82,1.68,2.97,CNY,2013
000060.KS,8.33,2.32,9.17,16.73,12.99,13.78,11.45,11.19,0.0,1.34,KRW,2012
000060.SZ,15.62,3.79,11.31,13.04,10.59,9.48,9.85,9.49,4.41,5.3,CNY,2013
000063.SZ,24.21,1.38,5.61,28.35,20.26,6.8,11.21,11.06,4.72,-1.91,CNY,2013
000065.SZ,19.98,6.2,18.31,24.07,10.44,20.96,28.71,27.04,3.11,5.31,CNY,2013
000066.SZ,-4598.82,10.02,-17.34,0.0,13.99,-1.62,19.83,18.03,0.69,4.96,CNY,2013
000068.SZ,-12.33,1.3,4.88,3.64,20.96,24.69,-14.95,-14.76,-5.56,-3.81,CNY,2013
000069.SZ,-2.76,1.35,11.79,1.0,0.0,18.11,12.5,12.33,-3.35,2.65,CNY,2013
000070.KS,6.51,0.83,4.01,55.62,0.0,6.43,3.69,3.66,2.53,2.8,KRW,2013
000070.SZ,237.17,1.53,11.51,15.15,-2.92,14.91,6.48,6.38,0.75,2.26,CNY,2013
000075.KS,4.95,0.83,4.01,55.62,0.0,6.43,3.69,3.66,2.53,2.8,KRW,2013
000078.SZ,-8.9,4.44,18.86,14.92,0.0,18.25,13.32,12.75,-2.92,0.64,CNY,2013
000080.KS,20.19,0.49,3.1,1.89,0.75,-0.71,-1.93,-1.92,2.73,1.03,KRW,2013
000087.KS,15.78,0.49,3.1,1.89,0.75,-0.71,-1.93,-1.92,2.73,1.03,KRW,2013
000088.SZ,21.94,0.7,11.16,17.93,0.94,12.71,7.99,7.93,2.96,3.94,CNY,2013
000089.SZ,-15.55,0.28,0.53,0.0,0.0,8.7,3.57,3.56,-4.54,3.03,CNY,2013
000090.SZ,7.54,5.82,21.72,27.03,13.37,24.27,16.91,15.98,2.88,2.71,CNY,2013
000096.SZ,74.89,0.27,10.31,0.0,-2.87,3.33,3.73,3.72,2.16,4.05,CNY,2013
000099.SZ,44.51,4.37,4.72,4.96,-4.29,5.96,8.17,7.82,3.05,3.07,CNY,2013
000100.KS,41.62,0.98,7.28,6.22,0.29,5.6,5.48,5.43,4.07,3.47,KRW,2013
000100.SZ,-165.52,6.93,7.7,21.99,-7.77,18.51,15.21,14.23,0.54,2.12,CNY,2013
000105.KS,38.96,19.88,7.28,6.22,-15.84,5.6,5.48,4.57,4.07,3.47,KRW,2013
000120.KS,7.82,-0.32,13.78,22.94,0.0,8.61,5.43,5.45,2.14,1.14,KRW,2013
000140.KS,3.36,-0.24,2.77,2.1,0.0,-0.86,-0.49,-0.49,2.23,0.78,KRW,2013
000145.KS,4.47,-0.14,2.77,2.1,0.0,-0.86,-0.49,-0.49,2.23,0.57,KRW,2013
000150.KS,-2.97,-1.03,-2.8,-8.79,0.0,-1.86,-5.71,-5.76,-2.7,-1.23,KRW,2013
000150.SZ,-1.02,3.51,3.39,-27.03,0.0,4.67,0.0,0.0,-12.65,-5.99,CNY,2013
000151.SZ,-8.52,1.48,11.74,-8.65,0.0,6.93,-3.54,-3.49,-10.98,-0.15,CNY,2013
000153.SZ,19.8,0.65,11.28,16.45,20.51,9.46,6.11,6.07,3.66,2.52,CNY,2013
000155.KS,-1.72,-1.03,-2.8,-8.79,0.0,-1.86,-5.71,-5.76,-2.7,-0.87,KRW,2013
000155.SZ,15.63,13.61,8.59,0.0,0.0,23.32,24.75,21.78,8.79,4.68,CNY,2013
000156.SZ,20.24,5.34,20.13,12.95,7.2,20.44,26.03,24.71,3.05,4.21,CNY,2013
000157.KS,-17.46,-100.0,-2.8,-8.79,-100.0,-1.86,-5.71,-5.71,-2.7,-0.87,KRW,2013
000157.SZ,24.49,1.19,0.86,-1.93,-6.62,3.64,3.09,3.06,1.99,3.31,CNY,2013
000158.SZ,-57.11,5.93,5.72,0.0,0.0,12.42,10.4,9.82,-1.69,1.06,CNY,2013
000159.SZ,11.31,-0.0,4.67,15.09,26.66,0.35,2.28,2.28,13.45,3.28,CNY,2013
000166.SZ,30.02,12.17,14.45,-100.0,-6.8,27.1,19.98,17.81,0.46,1.23,CNY,2013
000180.KS,-6.22,1.13,4.68,19.95,12.06,10.87,9.96,9.85,-1.6,-0.79,KRW,2013
0001.HK,0.0,-100.0,35.53,0.04,-100.0,11.57,4.04,4.04,4.98,4.94,HKD,2013
000210.KS,-20.01,4.35,-6.91,24.29,0.0,1.34,-1.64,-1.57,0.83,4.75,KRW,2013
000215.KS,-11.89,-13.83,-6.91,24.29,0.0,1.34,-1.64,-1.9,0.83,4.75,KRW,2013
000220.KS,-21.63,6.82,9.38,-17.05,0.0,9.16,5.95,5.57,-2.31,2.03,KRW,2013
000225.KS,-45.03,-100.0,9.38,-17.05,-100.0,9.16,5.95,5.95,-2.31,2.03,KRW,2013
000227.KS,-100.55,-100.0,9.38,-17.05,-100.0,9.16,5.95,5.95,-2.31,2.03,KRW,2013
000230.KS,-1.09,4.36,6.14,0.0,0.0,3.59,-30.83,-29.54,-26.17,-6.34,KRW,2013
000240.KS,7.35,5.48,36.62,25.33,-4.82,6.93,6.06,5.74,3.87,5.25,KRW,2013
000270.KS,5.48,-0.11,6.87,9.57,4.07,8.23,7.65,7.66,7.64,3.52,KRW,2013
0002.HK,103.22,0.0,-0.42,-1.14,-14.44,1.22,2.53,2.53,0.7,5.35,HKD,2013
000300.KS,-3.97,3.57,2.66,10.16,0.0,-1.79,-5.65,-5.45,-4.68,-0.29,KRW,2013
000301.SZ,135.46,21.11,58.22,32.45,-11.49,52.8,31.87,26.32,0.34,3.42,CNY,2013
000320.KS,3.12,0.33,6.02,7.8,2.78,3.6,4.4,4.39,2.96,0.38,KRW,2013
000325.KS,6.38,0.33,6.02,7.8,2.78,3.6,4.4,4.39,2.96,0.38,KRW,2013
000333.SZ,13.25,4.47,12.34,16.99,15.85,17.77,17.75,16.99,7.84,8.98,CNY,2013
000338.SZ,19.7,0.84,13.0,5.71,2.72,15.78,11.39,11.29,1.99,5.89,CNY,2013
000370.KS,2.0,10.15,4.67,0.0,0.0,9.51,-12.39,-11.25,1.24,0.45,KRW,2013
000390.KS,30.92,0.01,2.91,-8.34,-17.21,2.37,1.96,1.96,0.97,0.32,KRW,2013
0003.HK,19.74,-0.01,8.92,4.07,-3.05,-100.0,4.67,4.67,3.33,-96.72,HKD,2013
000400.KS,-86.12,16.78,2.02,0.0,0.0,14.61,6.03,5.17,-0.35,0.37,KRW,2013
000400.SZ,26.4,3.54,8.51,2.9,0.63,9.62,11.39,11.0,4.18,2.47,CNY,2013
000401.SZ,30.15,7.97,9.15,8.49,7.96,4.13,11.1,10.28,2.45,4.42,CNY,2013
000402.SZ,-27.68,0.04,0.34,-0.43,-15.54,8.08,6.09,6.09,0.42,1.83,CNY,2013
000403.SZ,27.32,3.68,19.67,19.44,22.05,23.58,41.59,40.11,11.52,8.45,CNY,2013
000404.SZ,10.32,1.78,7.71,8.1,9.21,7.86,7.18,7.05,3.4,1.32,CNY,2013
000407.SZ,19.58,2.97,8.48,0.0,21.26,8.3,10.46,10.16,2.6,2.46,CNY,2013
000408.SZ,6.34,22.65,51.7,0.0,54.61,42.0,58.61,47.78,42.9,11.92,CNY,2013
000409.SZ,70.67,0.61,11.52,-3.81,-8.71,3.77,3.0,2.99,2.72,-0.69,CNY,2013
000410.SZ,-331.78,7.45,-15.22,-15.26,-12.63,-15.47,-10.26,-9.55,0.31,-11.84,CNY,2013
000411.SZ,9.1,5.26,10.6,9.13,17.61,11.87,16.14,15.33,3.59,1.96,CNY,2013
000413.SZ,-6.52,11.26,22.74,11.28,0.0,23.09,16.29,14.64,-3.3,0.24,CNY,2013
000415.SZ,-13.3,10.38,19.6,17.88,0.0,18.52,14.21,12.87,-0.93,0.13,CNY,2013
000416.SZ,-45.38,0.02,-29.93,-0.85,0.0,-0.35,0.92,0.92,-3.23,1.79,CNY,2013
000417.SZ,18.91,0.0,-4.91,-2.91,-7.07,6.33,3.96,3.96,1.91,2.26,CNY,2013
000419.SZ,23.61,-0.0,-7.52,5.89,-0.37,3.57,6.2,6.2,2.92,3.08,CNY,2013
000420.SZ,-359.4,13.11,11.35,0.0,-25.29,11.34,48.72,43.07,-0.84,0.75,CNY,2013
000421.SZ,29.66,5.68,17.5,0.0,-2.54,22.92,12.95,12.25,0.57,1.63,CNY,2013
000422.SZ,5.8,0.05,0.8,8.88,46.83,-6.31,-2.93,-2.93,11.27,2.73,CNY,2013
000423.SZ,35.55,-0.16,0.07,-4.07,-4.55,8.66,8.39,8.4,6.34,9.98,CNY,2013
000425.SZ,17.92,7.41,14.84,12.37,4.45,15.17,11.88,11.06,2.57,3.77,CNY,2013
000426.SZ,139.39,7.43,10.83,11.38,3.08,9.48,8.2,7.64,2.7,-1.4,CNY,2013
000428.SZ,-11.54,4.24,-13.69,0.0,0.0,-4.53,0.99,0.95,-7.74,-6.12,CNY,2013
000429.SZ,8.93,5.49,13.56,33.68,27.17,5.34,8.83,8.37,8.96,9.79,CNY,2013
000430.KS,12.64,0.0,0.15,-11.13,-5.54,-1.6,1.74,1.74,1.88,1.26,KRW,2013
000430.SZ,-14.94,2.66,-13.73,0.0,0.0,18.89,10.97,10.69,-11.42,-1.12,CNY,2013
000480.KS,20.13,28.93,-0.68,0.84,-21.78,4.05,2.49,1.93,2.56,4.04,KRW,2013
000488.SZ,-121.75,8.43,5.14,21.82,-15.68,6.58,3.47,3.2,0.38,2.11,CNY,2013
000490.KS,5.21,1.65,10.12,34.98,0.0,12.84,5.08,5.0,2.28,0.85,KRW,2013
000498.SZ,4.77,3.93,27.78,33.12,23.07,30.45,23.78,22.88,2.45,2.61,CNY,2013
0004.HK,0.0,-100.0,-6.12,-16.62,-100.0,-6.73,-6.42,-6.42,-0.65,2.22,HKD,2013
000500.KS,5.57,0.9,5.2,-3.58,1.1,3.76,1.31,1.3,1.39,0.53,KRW,2013
000501.SZ,29.3,1.65,-10.29,-4.57,-6.14,10.39,15.76,15.51,1.31,5.55,CNY,2013
000502.SZ,-4.9,-0.29,20.03,1.73,8.01,1.57,-2.16,-2.17,0.0,11.19,CNY,2012
000503.SZ,-133.47,0.07,4.69,0.0,0.0,-2.81,-6.12,-6.12,-8.87,-15.03,CNY,2013
000504.SZ,-141.64,-0.92,25.32,0.0,0.0,17.87,33.03,33.34,-5.47,-7.76,CNY,2013
000505.SZ,39.82,5.76,56.73,0.0,22.76,19.4,43.76,41.38,2.53,3.69,CNY,2013
000506.SZ,-46.64,0.1,-12.34,0.0,2.92,-7.26,-10.04,-10.03,15.28,-0.59,CNY,2013
000507.SZ,11.35,2.13,16.87,39.44,17.33,20.41,11.4,11.16,2.54,2.55,CNY,2013
000509.SZ,-1638.4,17.45,13.99,0.0,-25.14,-1.8,3.8,3.23,1.2,-28.29,CNY,2013
000510.SZ,-84.2,-0.01,4.73,0.0,0.0,2.48,5.54,5.54,0.59,6.51,CNY,2013
000513.SZ,17.77,1.16,11.83,16.01,15.05,15.95,17.13,16.93,7.98,7.05,CNY,2013
000514.SZ,21.5,0.0,-0.34,21.29,2.67,-0.37,3.6,3.6,2.26,1.27,CNY,2013
000516.SZ,-22.54,4.85,-3.0,0.0,0.0,15.55,14.27,13.61,-9.57,17.3,CNY,2013
000518.SZ,-55.46,0.0,2.91,9.81,-3.09,-1.2,-2.11,-2.11,-7.71,-2.75,CNY,2013
000519.SZ,50.09,5.5,13.9,6.93,3.24,13.19,11.68,11.08,5.64,3.51,CNY,2013
000520.KS,273.86,1.4,8.09,0.0,0.0,13.33,6.73,6.63,-0.01,-3.63,KRW,2013
000520.SZ,173.99,4.61,-2.87,0.0,0.0,1.38,0.0,0.0,4.69,8.19,CNY,2013
000521.SZ,21.51,3.42,7.51,10.02,-4.37,7.4,5.52,5.34,1.61,0.36,CNY,2013
000523.SZ,-97.98,14.42,-5.36,3.98,0.0,-0.72,-0.85,-0.74,-3.13,-8.9,CNY,2013
000524.SZ,-71.29,10.67,14.06,0.0,0.0,16.4,13.8,12.47,-7.87,1.47,CNY,2013
000525.SZ,13.72,1.51,-1.34,39.65,6.2,-0.04,-10.33,-10.18,7.89,-0.86,CNY,2013
000526.SZ,244.93,2.27,77.71,0.0,0.0,36.15,12.22,11.94,0.41,-1.59,CNY,2013
000528.SZ,22.43,3.15,8.62,6.62,3.41,7.43,5.94,5.76,1.48,3.03,CNY,2013
000529.SZ,4.06,0.17,7.09,37.92,30.81,17.86,14.23,14.2,16.48,9.21,CNY,2013
000530.SZ,77.62,2.51,7.29,14.84,-22.97,11.02,5.19,5.06,0.25,0.96,CNY,2013
000531.SZ,66.11,2.05,2.03,-16.09,0.0,6.66,7.83,7.67,-0.12,1.52,CNY,2013
000532.SZ,26.56,0.0,12.91,24.5,11.86,9.49,7.42,7.42,6.25,3.84,CNY,2013
000533.SZ,50.25,-0.18,-2.9,5.9,-12.95,-4.42,-5.9,-5.91,2.23,-25.67,CNY,2013
000534.SZ,64.34,0.07,-3.77,-9.2,-4.24,-2.99,-0.89,-0.89,4.82,2.7,CNY,2013
000536.SZ,-3.62,6.09,-9.1,0.0,0.0,-0.43,5.7,5.38,-13.68,-18.69,CNY,2013
000537.SZ,29.53,15.33,9.73,16.19,-7.71,27.72,30.17,26.16,1.7,2.75,CNY,2013
000538.SZ,26.85,4.72,9.73,11.01,-1.75,17.1,17.49,16.7,5.71,9.58,CNY,2013
000539.SZ,-10.44,0.11,6.13,0.0,0.0,7.62,0.67,0.67,-3.53,0.2,CNY,2013
000540.KS,1.04,0.0,0.27,26.72,31.2,8.72,10.6,10.6,1.06,0.45,KRW,2013
000540.SZ,-0.14,4.24,1.21,0.0,0.0,16.68,0.0,0.0,-13.74,-1.03,CNY,2013
000541.SZ,20.99,-0.19,14.81,7.24,4.05,18.28,6.68,6.69,2.42,5.57,CNY,2013
000543.SZ,97.64,3.25,7.59,-12.2,-20.66,8.42,7.31,7.08,0.41,1.31,CNY,2013
000544.SZ,15.35,10.17,32.61,31.62,12.98,34.48,26.07,23.66,1.81,4.7,CNY,2013
000545.KS,2.97,-100.0,0.27,26.72,-100.0,8.72,10.6,10.6,1.06,0.45,KRW,2013
000545.SZ,-12.31,4.13,12.9,0.0,0.0,11.33,9.97,9.57,-4.85,1.06,CNY,2013
000546.SZ,-10.9,18.48,58.38,0.0,0.0,44.32,44.85,37.86,-7.27,3.33,CNY,2013
000547.KS,1.12,-100.0,0.27,26.72,-100.0,8.72,10.6,10.6,1.06,0.45,KRW,2013
000547.SZ,-70.01,8.76,23.01,19.02,-16.16,20.02,20.76,19.09,0.51,6.32,CNY,2013
000548.SZ,52.28,-0.73,7.24,1.87,14.93,6.25,2.64,2.66,1.1,2.29,CNY,2013
000550.SZ,13.69,0.02,4.14,-10.77,-6.65,5.84,0.08,0.08,3.55,1.09,CNY,2013
000551.SZ,15.59,-0.27,7.21,9.75,23.74,7.02,6.65,6.67,4.5,2.9,CNY,2013
000552.SZ,4.07,14.34,14.16,23.5,11.28,18.87,19.88,17.38,14.45,7.02,CNY,2013
000553.SZ,74.1,16.48,31.97,23.61,-7.8,40.55,35.06,30.1,1.27,4.7,CNY,2013
000554.SZ,192.79,-0.02,-2.41,4.25,-2.85,6.33,0.32,0.32,0.56,0.36,CNY,2013
000555.SZ,65.23,4.73,5.03,2.92,-6.91,8.37,13.52,12.91,1.92,1.7,CNY,2013
000557.SZ,31.32,8.22,76.58,0.0,46.97,40.2,50.74,46.89,4.14,2.94,CNY,2013
000558.SZ,-249.3,3.79,-27.28,-30.5,0.0,-12.76,2.17,2.09,-2.05,-2.4,CNY,2013
000559.SZ,22.59,4.37,4.71,1.56,0.41,7.82,9.5,9.1,4.27,5.24,CNY,2013
000560.SZ,-432.48,17.56,23.16,0.0,0.0,23.69,28.2,23.98,-1.25,3.82,CNY,2013
000561.SZ,70.62,-0.0,8.14,11.8,13.8,11.13,7.91,7.91,2.31,2.94,CNY,2013
000563.SZ,15.67,5.19,9.77,-100.0,5.98,21.58,18.54,17.62,3.68,3.17,CNY,2013
000564.SZ,-21.21,50.88,-10.72,0.0,0.0,17.13,23.77,15.75,-3.65,-1.08,CNY,2013
000565.SZ,-156.55,10.94,-1.66,5.5,-6.03,5.8,9.03,8.14,3.32,3.44,CNY,2013
000566.SZ,424.6,3.08,6.01,8.84,-35.64,8.72,4.28,4.15,0.04,-2.3,CNY,2013
000567.SZ,15.81,17.38,63.51,0.0,64.29,45.31,44.39,37.82,8.85,3.29,CNY,2013
000568.SZ,28.13,0.55,10.26,13.5,12.48,15.79,13.94,13.87,21.46,16.93,CNY,2013
000570.SZ,28.73,2.15,-3.21,2.98,-1.84,6.18,6.85,6.7,1.51,1.67,CNY,2013
000571.SZ,99.31,1.12,2.77,5.03,-0.17,-1.26,-16.34,-16.16,4.36,-16.81,CNY,2013
000572.SZ,-4.74,-0.0,-14.85,0.0,0.0,-8.36,-12.5,-12.5,-29.35,-14.69,CNY,2013
000573.SZ,40.56,0.28,-0.89,-12.4,-11.13,-1.47,0.51,0.51,1.77,1.57,CNY,2013
000576.SZ,39.96,1.16,-0.14,77.5,13.44,3.47,6.33,6.26,9.35,14.28,CNY,2013
000581.SZ,160.47,2.94,9.58,14.56,-20.39,9.06,7.03,6.83,0.69,10.01,CNY,2013
000582.SZ,12.94,5.81,6.17,5.27,1.4,14.71,14.77,13.96,3.85,4.71,CNY,2013
000584.SZ,-5.35,2.42,-4.53,0.0,0.0,2.85,-7.3,-7.13,-19.69,-1.3,CNY,2013
000585.SZ,18.18,-2.18,-10.05,6.35,7.58,-9.93,0.0,0.0,0.0,6.58,CNY,2012
000586.SZ,147.02,0.64,0.88,22.49,1.82,1.47,4.82,4.79,3.36,1.17,CNY,2013
000587.SZ,-23.81,7.46,-37.08,17.27,0.0,-6.27,0.0,0.0,0.0,-25.14,CNY,2012
000589.SZ,14.14,11.64,2.98,2.75,0.6,8.49,11.71,10.49,2.79,2.23,CNY,2013
000590.KS,3.83,-0.28,2.04,-0.86,6.91,5.04,4.83,4.85,4.2,3.39,KRW,2013
000590.SZ,169.64,0.78,3.55,0.0,0.0,8.66,11.16,11.08,2.08,-1.84,CNY,2013
000591.SZ,17.51,21.15,7.96,50.81,25.04,34.77,53.74,44.36,3.02,2.64,CNY,2013
000592.SZ,-23.6,1.46,3.56,0.0,0.0,9.41,9.26,9.13,-4.84,-2.61,CNY,2013
000593.SZ,48.49,5.7,13.77,12.72,-2.75,10.27,5.73,5.42,2.72,-7.49,CNY,2013
000595.SZ,-57.81,10.18,-2.85,-4.81,-12.22,1.84,10.3,9.35,-8.91,-9.42,CNY,2013
000596.SZ,36.84,0.58,15.47,21.43,19.04,19.9,19.44,19.33,11.18,14.1,CNY,2013
000597.SZ,21.09,7.32,9.57,0.0,0.0,6.93,13.12,12.22,2.7,1.59,CNY,2013
000598.SZ,9.7,0.45,13.63,8.87,8.46,15.6,9.06,9.02,6.02,5.88,CNY,2013
000599.SZ,-5.77,4.37,-3.26,0.0,0.0,8.18,4.88,4.68,-7.3,-1.32,CNY,2013
0005.HK,6.55,0.77,-1.56,-100.0,-1.25,1.17,0.34,0.34,0.54,0.47,USD,2013
000600.SZ,-76.54,7.87,8.61,-4.54,-22.02,8.19,11.64,10.79,0.43,0.71,CNY,2013
000601.SZ,-32.59,0.28,5.69,-6.23,0.0,4.72,2.61,2.61,-0.65,2.37,CNY,2013
000603.SZ,17.78,3.42,9.32,0.4,2.79,23.92,22.98,22.23,10.45,11.67,CNY,2013
000605.SZ,61.22,11.69,42.7,0.0,0.0,37.04,22.46,20.11,0.48,1.14,CNY,2013
000606.SZ,2.76,5.52,-18.09,0.0,5.04,-18.59,-26.54,-25.15,29.39,-25.57,CNY,2013
000607.SZ,60.85,11.02,-2.41,5.99,-13.66,8.14,17.36,15.63,2.32,1.93,CNY,2013
000608.SZ,-4.08,0.46,-6.38,-3.99,0.0,-6.13,-0.97,-0.96,-7.9,0.17,CNY,2013
000609.SZ,-4.83,0.03,3.5,0.0,0.0,2.85,-7.56,-7.56,-12.7,-4.51,CNY,2013
000610.SZ,-23.24,2.09,-5.69,21.72,0.0,13.63,3.88,3.8,-9.37,3.81,CNY,2013
000611.SZ,-14.43,0.28,-3.49,0.0,-4.07,15.3,-5.34,-5.32,0.0,-16.04,CNY,2012
000612.SZ,48.36,7.23,1.94,15.18,-5.42,0.96,2.28,2.12,3.93,-1.72,CNY,2013
000613.SZ,-95.17,-0.03,-0.69,0.0,0.0,-3.26,-2.08,-2.08,0.0,-1.03,CNY,2012
000615.SZ,-1.68,6.52,8.63,-3.41,42.73,13.42,0.0,0.0,-55.06,-5.34,CNY,2013
000616.SZ,-1.06,0.13,-33.69,0.0,0.0,-8.28,-0.6,-0.6,-14.26,2.57,CNY,2013
000617.SZ,8.21,44.49,39.46,93.22,50.72,96.59,72.42,50.12,1.06,1.51,CNY,2013
000619.SZ,-27.68,0.0,3.43,0.0,0.0,1.78,-0.39,-0.39,-1.74,-0.21,CNY,2013
000620.SZ,-0.78,1.99,8.12,0.0,0.0,8.89,0.0,0.0,-9.07,-0.54,CNY,2013
000622.SZ,-142.86,-1.93,3.35,5.3,0.0,-3.0,-2.18,-2.22,-4.21,0.64,CNY,2013
000623.SZ,8.16,0.44,4.34,31.31,6.43,11.08,10.53,10.48,5.82,4.71,CNY,2013
000625.SZ,13.51,4.82,13.6,0.0,4.56,11.84,14.37,13.71,5.54,1.29,CNY,2013
000626.SZ,26.71,2.33,6.84,0.0,16.23,3.78,24.4,23.85,2.4,1.29,CNY,2013
000627.SZ,44.36,14.53,54.87,0.0,0.0,72.29,35.44,30.95,0.18,0.71,CNY,2013
000628.SZ,25.36,5.44,13.64,32.44,27.25,16.94,26.53,25.16,1.49,1.72,CNY,2013
000629.SZ,31.45,0.0,-0.37,-0.95,10.74,-11.48,-5.61,-5.61,11.63,19.9,CNY,2013
000630.SZ,11.54,4.35,5.36,22.43,13.99,4.96,9.57,9.17,4.61,2.77,CNY,2013
000631.SZ,37.89,0.67,-21.8,-13.06,-14.27,-3.68,8.28,8.22,1.76,6.23,CNY,2013
000632.SZ,42.38,0.01,11.53,13.12,9.31,6.2,1.59,1.59,0.33,0.6,CNY,2013
000633.SZ,585.14,-0.02,6.46,0.0,0.15,-1.54,-2.91,-2.92,2.42,0.95,CNY,2013
000635.SZ,-5.77,0.02,-4.13,0.0,0.0,-2.88,-2.09,-2.09,-14.62,-0.52,CNY,2013
000636.SZ,84.21,5.07,6.32,30.97,10.14,16.94,19.93,18.96,2.11,11.04,CNY,2013
000637.SZ,-11.14,-0.27,7.19,0.0,0.0,12.04,1.25,1.25,-5.04,2.26,CNY,2013
