GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
INGERRAND.NS,47.84,-0.0,7.94,21.68,11.8,-2.64,-4.97,-4.97,13.68,10.82,INR,2014
ING.L,12.08,7.64,-4.93,3.58,-1.14,-3.42,0.0,0.0,24.43,-4.13,GBP,2013
INGN,-2.68,2.66,19.58,17.51,0.0,19.36,20.31,19.79,-22.52,6.46,USD,2013
ING.PA,0.0,3.12,15.7,9.67,17.62,22.0,16.98,16.47,0.0,7.08,EUR,2010
INGR,12.89,-1.72,1.99,2.45,4.18,3.9,3.21,3.27,7.86,8.42,USD,2013
INGR.ME,49.77,11.66,26.29,0.0,-10.27,15.06,-15.13,-13.55,0.0,-3.46,RUB,2011
INGRS.BK,-1.92,2.52,3.3,0.0,0.0,5.25,45.56,44.44,-4.65,-0.35,THB,2015
ING.WA,12.98,0.0,10.06,-100.0,6.64,10.74,0.89,0.89,0.79,1.02,PLN,2013
INGXF,-39.56,14.44,16.04,-3.72,4.89,10.52,29.62,25.88,-1.27,-1.42,CAD,2019
INHC.L,-2.05,77.44,630.97,63.42,-12.29,347.24,0.0,0.0,-57.55,-81.92,GBP,2020
INH.DE,7.08,2.05,4.68,4.47,-0.56,5.36,3.2,3.13,5.55,4.67,EUR,2013
ININ,0.0,474.15,16.87,0.0,0.0,18.88,9.08,1.58,0.0,0.0,USD,2011
INIS,-17.76,3.8,5.6,0.0,-26.85,3.41,-1.06,-1.02,-2.78,-7.76,USD,2013
INISS-B.ST,18.82,5.44,25.49,17.3,10.31,29.32,25.36,24.06,4.33,5.46,SEK,2013
INIT.ST,-7.33,-100.0,-100.0,90.01,-100.0,110.04,0.0,0.0,-79.54,-60.87,DKK,2016
INKA,-8.38,-19.62,-100.0,-100.0,-100.0,2352.32,6311.95,7852.94,4.69,1.72,USD,2020
INKAU,-8.43,-92.4,-100.0,-100.0,-100.0,2352.32,6311.95,83079.29,4.69,1.72,USD,2020
INKAW,-0.13,-92.4,-100.0,-100.0,-100.0,2352.32,6311.95,83079.29,14.48,4.98,USD,2020
INKI,-94.24,0.0,-100.0,62.85,63.03,105.19,0.0,0.0,-478.65,-1167.33,USD,2019
INKP.JK,3.92,0.0,4.68,23.03,16.52,3.99,10.44,10.44,8.93,6.2,USD,2013
INKT,0.47,0.62,1477.02,11.57,-1.37,154.09,-77.73,-77.25,-115.41,-628.92,USD,2019
INK.WA,8.53,0.0,-0.49,7.25,8.95,3.88,5.78,5.78,6.43,7.31,PLN,2013
INLB,-0.2,56.33,58.63,28.28,-18.14,84.72,0.0,0.0,-76.44,-46.63,USD,2013
INL.DE,-46.66,-2.33,2.01,0.0,0.06,7.84,6.35,6.51,5.4,19.71,USD,2013
INL.JO,17.96,1.1,5.56,22.75,5.17,5.02,9.54,9.44,0.92,0.95,ZAR,2013
INL.L,2.02,2.52,26.85,21.98,8.03,22.82,15.66,15.28,0.0,0.76,GBP,2011
INL.WA,6.4,-0.4,5.56,7.82,3.97,6.79,1.77,1.78,4.93,1.63,PLN,2013
INLX,-16.96,47.58,27.68,0.0,-38.82,49.77,0.0,0.0,-8.01,-133.05,USD,2013
INLXD,0.0,-26.93,-100.0,80.68,164.6,231.29,72.39,99.06,0.0,-237.7,USD,2011
INM,-0.15,33.79,-100.0,86.91,50.09,138.64,0.0,0.0,-219.21,-71.99,CAD,2013
INMB,-5.78,8.12,-100.0,120.22,100.36,137.86,0.0,0.0,-43.88,-660.11,USD,2016
INMD,18.26,5.96,53.41,85.74,70.03,74.84,95.43,90.07,25.06,28.02,USD,2017
INN,84.17,4.5,9.48,8.24,0.0,9.88,1.91,1.82,0.05,1.84,USD,2013
INN1.DE,9.22,0.16,-53.39,-100.0,-1.33,-1.18,1.82,1.81,0.38,0.49,EUR,2013
INND,-0.0,114.56,-28.23,0.0,0.0,53.79,0.0,0.0,0.0,-295.4,USD,2015
INNO,2755.33,32.5,-100.0,0.0,0.0,-100.0,0.0,0.0,3124851.53,345075.13,USD,2014
INNO.CN,-15.02,14.69,-100.0,52.26,17.14,80.31,166.37,145.06,-55.75,-165.86,USD,2018
INNOG.SW,-34.64,0.0,-5.3,-25.93,0.0,-1.87,-12.78,-12.78,0.0,-1.64,EUR,2013
INN.PA,0.0,5.95,-3.78,0.0,0.0,-1.37,1.42,1.34,0.0,3.86,EUR,2011
INN-PD,0.0,-100.0,6.39,0.0,-100.0,16.75,14.16,14.16,0.0,2.98,USD,2011
INN-PE,257.9,0.0,9.48,8.24,-14.15,9.88,1.91,1.91,0.05,1.84,USD,2013
INN-PF,254.7,0.07,9.48,8.24,0.0,9.88,1.91,1.9,0.05,1.84,USD,2013
INNT,0.0,292.21,-45.04,0.0,-58.37,-6.4,0.0,0.0,0.0,-576.53,USD,2016
INNTW,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-157.05,USD,2020
INNV,-21.8,-3.73,14.48,0.0,0.0,15.22,64.85,67.36,-1.87,1.06,USD,2019
INO,0.05,20.05,-2.97,0.0,-10.7,16.48,17.41,14.5,-85.64,-79.0,USD,2013
INOD,-26.19,0.97,2.32,3.48,0.26,-0.44,-8.05,-7.98,-35.86,-4.23,USD,2013
INO-UN.TO,-2.99,11.23,8.16,-8.19,0.0,9.11,9.87,8.87,-6.59,2.77,CAD,2013
INOV,272.27,23.61,12.05,6.42,-19.98,27.31,14.68,11.88,0.0,-6.72,USD,2011
INOX.BK,-569.88,0.0,9.19,0.0,0.0,-0.35,1.09,1.09,2.71,3.47,THB,2013
INOXGREEN.NS,-129.7,-7.27,15.43,-16.79,0.0,11.51,19.48,21.01,-0.41,-0.64,INR,2020
INOXLEISUR.NS,-119.37,2.53,-1.24,0.0,0.0,16.63,3.5,3.42,-6.05,4.93,INR,2013
INOXWIND.NS,-8.33,5.51,-8.04,0.0,0.0,16.95,16.84,15.96,-7.61,-5.32,INR,2014
INPAP,16.02,-100.0,-3.47,-1.35,-100.0,-3.01,0.53,0.53,7.2,5.63,USD,2013
INP.AX,-0.53,43.41,-100.0,-100.0,-100.0,-8.84,0.0,0.0,-363.01,-168.72,AUD,2014
INPC.JK,-28.28,4.95,0.33,-100.0,-18.56,2.05,4.86,4.63,0.22,0.07,IDR,2013
INP.DE,6.1,-1.39,-3.47,-1.35,2.14,-3.01,0.53,0.53,7.2,5.63,USD,2013
